"","ALF1","ALF3","ALF5","ALF7","RPF1","RPF3","RPF5","RPF7","HAF1","HAF3","HAF5","HAF7"
"especie.PK",0,0,0,0,1,1,1,1,0,0,0,0
"especie.C3",0,0,0,0,0,0,0,0,1,1,1,1
"OG0000000",52.0061917097588,56.2527505925326,24.509974721188,34.9026343987007,53.5674910809052,55.1330599766554,55.2448338476926,70.3543611855048,34.1004498422651,38.1871716552978,36.3750165353075,71.2522977031238
"OG0000001",115.545907770601,115.655958262709,108.352366942847,165.126050481941,44.6718112089734,68.6312826197021,78.3703602044722,75.8356561786576,36.5360280681217,42.6292531888707,31.7974545456922,88.2934568394788
"OG0000002",55.2788222047326,59.8615381902266,52.4358709282452,90.1476015454317,5.34170534902654,8.55002594191368,14.3162963473014,12.3406418187657,10.4168753841448,12.4400060006133,12.5414380561137,19.7129436622907
"OG0000005",163.177574105176,182.063499971289,101.362615001677,97.8533718937197,19.0349071696615,19.1321926377095,19.1449131977478,21.0807905210765,7.63489929388969,9.12884727937746,9.12019006985928,12.9849987794462
"OG0000008",710.420618976666,1898.00851302872,1602.29218999056,2321.71248840286,26.3471086159977,31.6925809644887,23.0182569339693,32.6071467077503,17.1620432645697,26.4172529105509,15.3275142305695,9.8233441346903
"OG0000009",30.054316771836,35.0989142975321,25.893829120548,29.9734622795598,0.419570914953166,0.196280545466081,0.437871644788501,0.207096234746233,1.62334950429242,1.87926413113557,1.10054246609664,2.47864203371249
"OG0000010",9.23077611928739,11.7728743523347,11.1884136629714,15.0075013729982,2.2885574966012,0.638823562639102,1.64085846683555,1.42946324083042,0.324417652308507,1.01179867192673,1.31576007222914,2.41052919967684
"OG0000012",106.434918972642,50.8821366112277,30.6760741657531,32.9770192666194,16.9242477343165,15.1247251320861,11.2498949318,9.81530675578165,6.08929721918678,3.89475378321247,2.58479782180105,2.51096222424252
"OG0000013",265.78325437674,160.974226177453,129.070179480995,122.527617404107,70.9088511416379,51.8174132735625,48.9376912628696,63.0693606848675,72.4722714087674,76.4149211415082,66.6189020391365,78.4680132340177
"OG0000014",36.2771363255669,31.9549365509747,16.7991483564464,22.9278215500257,3.73647505050816,3.08207891235593,3.0719850945999,4.17239920587292,11.1171505570022,13.9636300824162,11.6265103380024,12.6833770293872
"OG0000016",46.9232430903372,55.1147431325635,17.1881627143084,17.503491503385,5.7640663180339,14.0705648329314,19.5958196290625,47.2266576812466,10.4441413952396,8.04596773198516,7.37517382324512,5.76683584712986
"OG0000017",239.564080980492,182.344676053159,82.7651054869873,109.890764952606,32.3134095684755,18.5227258980723,14.4452299644258,17.5865971142094,19.8811932263089,22.5370716922851,20.9440646925567,23.2259587965752
"OG0000021",15.1771892718175,17.2853198369929,11.6494731401055,16.7221515465273,0.651631198448292,1.12079975041453,1.5256226788081,1.48336995649691,0.487407102757739,0.594612072171696,0.335309634879559,0.454349306603675
"OG0000023",12.9647996584666,16.2306987855248,17.8855888349358,19.8497233483692,4.89906137871257,10.3310175436401,19.3168648574037,47.2403277494668,3.67509274758059,3.4780631297804,3.02869607412203,6.12978128443198
"OG0000026",10.1151129003347,14.8351964355523,34.511152373646,58.9153477702352,4.53706379114129,23.930640403722,22.2061395156079,30.3741799553049,13.8045801469556,31.7309909398243,54.741710380722,36.666753070012
"OG0000028",264.842332413393,167.962830608851,79.5183083186671,91.7850235585655,2.81174254115745,5.06222663883954,3.39696297394279,2.27224698016113,18.8813152092244,20.994209367585,10.1515436708679,11.4658543101602
"OG0000029",12.0653304120722,9.71815190809047,40.2659036954116,75.7369083058813,2.48671976118326,1.72194613285216,0.696514182212803,0.399738144901266,9.43098703691557,1.86956333474756,1.67257470476144,1.29112215050325
"OG0000032",175.399947572633,303.029009983894,576.491261139623,155.561280254867,309.805262631463,1043.32789327578,1336.16545876254,1633.61135581058,406.498946505119,270.707305971413,112.046069534633,90.1507725658935
"OG0000034",26.5772956632069,24.6534141765637,19.8274599669203,26.2218235011416,49.5557866081075,48.6899897629055,41.4015162960768,45.4373466663217,42.4784915807266,48.436695223661,53.9938965736978,64.9274429336978
"OG0000039",47.2110614663746,50.6445086642421,33.8628120103023,41.1231678570113,5.19667413372648,3.69672625180194,3.06836078902438,6.85541307629005,2.39858974466077,2.08771097524905,2.20513124543337,5.50190682868395
"OG0000041",25.2172522864271,19.3364440923291,6.35859510135807,8.6031707946434,4.85959461350492,3.6434648930172,1.20383618056474,3.07024355209521,9.23397218093934,14.6191981349165,15.443264899387,23.0896641355631
"OG0000042",15.7590348092257,15.1828314814373,13.2692140070723,16.7388860036126,4.43128848861667,16.498174919463,16.8815044797752,8.49117018718277,2.24976065265706,3.17690661310657,2.70175487619509,5.84034278357945
"OG0000043",12.7547982476059,35.5952135190095,29.0182145756272,20.8545548181443,0.833153947327367,0.793789335620066,0.791866352587155,1.14835254632905,1.35195737143362,2.69582853745076,4.85626424774872,4.70158313596479
"OG0000044",1339.31093522646,3869.23346667463,298.045464951915,22.793824189229,2718.09078389938,2955.59549491303,369.258184600095,122.281165237942,10652.5568446699,3692.32359500738,851.034510242399,98.0572441467054
"OG0000048",8.26316854915574,8.8185196350709,8.21301179045045,13.3411892129196,0.973359367052609,0.905959367766212,0.208035213163978,0.424980075404127,0.222997447699686,0.0815054431071866,0.482927775900874,0.599999655998691
"OG0000049",54.3106870019459,64.839670290377,35.2376091420947,37.4904687004844,44.4633630330746,26.6836955038932,32.1681550075627,51.1541913591295,6.792488036447,12.3022389419829,25.095208753652,30.6403902075905
"OG0000053",68.078275793704,1438.0910305137,714.014212769766,226.78750287103,679.968002536125,3548.43087252663,4476.42882695799,5850.80094904644,951.936863902998,1394.89489744256,602.289153230756,387.615641210016
"OG0000054",21.4396206138975,17.8779912868934,22.0403291568346,34.074865748051,9.09360843518404,13.8333914243601,10.6479837886895,16.6509676727221,14.7484757164136,18.1270016747811,10.2035308916457,8.65894455869694
"OG0000057",2.40852660021934,4.12190120804266,14.7343214135923,57.008193302358,0.985203034997292,1.79343259828356,1.59575079372876,2.04456841058085,1.9519668335839,2.92652480369193,6.15973279117197,5.50847082183776
"OG0000059",196.284542727128,172.095257752067,447.42720259067,414.218946734793,61.45633967283,77.66612548094,182.56328662034,251.597411078873,187.880393486492,371.872241009246,561.975464062484,617.458933490673
"OG0000060",17.2278719828013,31.5568169144881,20.8879357194924,11.2636509643361,9.0323014087632,7.55432153764144,5.15408242180744,3.66729259860558,4.90127525255096,4.62843876881107,3.64512293752365,3.86417032277131
"OG0000061",2.12861067236784,3.13926309790436,190.742589770859,239.242720476027,0.129212853730211,3.32486016230351,20.680416747605,17.1358725967663,4.20348516645463,10.536785826546,16.4405129996851,24.4494883167576
"OG0000063",10.6135890869796,4.67103092461522,3.44326548216157,6.05921371294032,18.0046407888662,12.4788016656375,15.4810958291364,13.2381774340477,10.2396127553591,8.62041339750918,5.80965739017002,7.6448596300024
"OG0000064",2.57276510315956,3.31715141961516,14.9134087967103,41.3442613271551,0.539040970385629,0.943889220319159,3.47458151091829,13.9998207796401,2.69620096562936,5.50824791083177,15.3173625613959,24.6393447025156
"OG0000065",4.68495902061139,4.92861943227385,5.38677825589999,22.1444230059896,32.4482218681949,27.578364832637,16.6807207061794,23.6037738813333,0.110538635199575,0.162542840646695,0.0689890538140357,0
"OG0000066",250.26064875162,194.950458300602,95.2744698635007,96.0496943050344,146.279134693983,167.293850650102,145.309416911411,161.178529177512,8.99567908168011,10.1966380494465,10.4360203796385,9.61070485845096
"OG0000068",10.0762878018681,38.4627243893135,35.576921173948,48.1345771457936,133.434573183269,372.041632658987,44.4483668916261,29.7538291445419,18.4343030960017,6.77591241427013,3.13807578598029,6.03541245991503
"OG0000069",3936.49938525717,1206.52448161932,3200.58876778822,5497.36091590694,4148.43443243164,2067.77597071014,2922.76525514957,3771.53896592528,1611.8415169274,1095.56479994358,1319.57826547252,1192.49630787559
"OG0000070",133.24599526672,49.3184706154178,34.5264177195378,52.851162882101,72.1493699684203,11.2614972457568,3.28790081144639,0.883257244458368,79.1515637002843,25.8086365476439,10.0907350165833,2.1137866980023
"OG0000074",13.2801531463368,8.29750884300159,10.1277843018515,15.9016474646742,112.724423477287,81.7504102172273,103.197061791969,100.483042710885,0.695135683182623,0.795005532692336,0.524744082227717,0.720452886990189
"OG0000076",25.9742769507432,23.4038042499009,28.4769939357426,41.6792342192781,222.911651784268,156.103429307842,177.632467706931,183.514851323459,25.3174745935641,20.7103150766922,25.6744323958256,30.3987808742678
"OG0000078",91.5467432794659,51.2333199088696,48.4477755160383,66.5138675615877,39.8351331934999,19.5123638758614,21.791980353379,23.9682864179707,14.7948109654745,14.3751041055319,12.3394384449658,12.292593571975
"OG0000079",7.92329040565844,15.1637439841372,76.5760450477126,60.8743943647979,268.08996170344,959.412935126112,638.583824879823,463.24295800168,73.1566120202151,178.842237808428,381.208381375205,268.427442835084
"OG0000081",3044.21606055003,18022.2370296433,113581.257940616,179018.409624195,11580.6281478118,55744.4159466383,84597.6473975725,77544.0123301673,16565.2321687646,67122.0614925658,79261.1616490936,32769.3243047544
"OG0000082",131.155904658104,80.3284806185699,86.6721648820816,101.433913077186,45.4227614948086,35.5035635099731,38.8479151056909,40.4662222803221,7.88726662636821,8.45173477851541,9.81345167804767,14.7679150641155
"OG0000083",1660.77800903325,1932.31933087896,3723.27646595509,5723.74382611743,931.957290662396,1024.47086936113,1058.35894664569,1257.44492392117,2543.37966359072,2726.20841241209,3676.9504737269,3562.99416491178
"OG0000084",508.962753334105,360.19766940445,155.873072818648,149.971949783562,1489.85530413915,731.523761451525,1497.4615386301,2082.21884762814,644.739303698049,422.762130410394,853.19571913071,1554.09634531009
"OG0000085",1.5159597641774,1.74997291212027,2.43491447649454,2.0844480617272,0.70626921350107,5.74133648893585,4.70426280040934,7.31475011254563,7.62446018629991,12.2984920408435,24.5665315864824,18.4944948035126
"OG0000087",74.8308163864761,56.6770802201857,28.3809327988751,23.8067359845283,3.96621868613443,36.4566967029576,27.686776914305,13.0418403517697,6.6963200834878,7.91200012617452,9.70218850894455,9.01656130764708
"OG0000088",29.4900984878369,37.0798587397942,22.5924625325861,30.1810137621392,38.9792525587459,20.4985767941364,10.6571310510723,8.02685856194042,3.6396452403962,5.03670148297538,3.2421310848984,6.60956847213273
"OG0000089",131.219145047334,168.091349620329,254.153682308578,574.933442357378,111.996840974732,150.919196261443,289.938854404095,367.729998230208,154.792451802909,154.462206010512,200.014728443019,288.511690142746
"OG0000090",122.746420604264,275.432025116863,273.009259472314,232.350529064382,80.0196345920005,231.54466446911,198.139873855397,215.178751719529,215.714585787345,284.827447122239,210.823834527895,119.593915915511
"OG0000092",7.58351858790011,11.9495450504015,6.16653060429535,7.3361032594498,2.2679567957475,2.58348504414704,1.3977558800504,1.03551208110896,2.9555228684727,3.52030283958778,3.21147754714489,4.13211710546822
"OG0000094",1301.89492106771,716.812241513646,771.666361105681,1609.91473689469,1254.67499693284,744.579196222053,664.472563204167,807.289572324493,766.715871530137,287.05796638949,307.601912669064,391.388116442861
"OG0000095",108.281093628841,124.369988701808,101.413151091563,183.264224604482,5.49066103177371,7.67563728127664,7.4034999392781,8.93681722824528,3.39337082959689,10.2315928030149,12.5293542705775,22.8624386386488
"OG0000096",819.861046298624,1043.64914570246,1568.183774041,1653.70309609783,944.345069610705,488.360756372787,845.797911213563,1105.03278814137,2058.0788336727,901.57160631112,1921.72018013873,2497.53156816026
"OG0000097",1061.47542900885,1418.56010280418,609.787785364522,297.382276670465,1354.02582760105,834.862764691825,428.037023217429,308.903188636277,1395.02179337264,636.054702676821,258.015319651499,258.983329519706
"OG0000098",11.4091051017799,6.20511788807225,5.34332506326066,6.51801838985595,11.3017004418509,8.46719295683001,8.09669730810608,6.42455789919848,13.2242156582807,10.2737397902263,6.52740885010665,3.82247794096316
"OG0000099",23.0325071826597,9.73843481215235,11.2985253810152,19.3613115141752,3.00859357785681,0.761422793389293,0.483246807520768,0.773462520615863,2.31765919584784,4.5154637967262,4.4864276856692,3.942748175338
"OG0000101",25.5271789002157,25.0088080718187,68.2891184279207,153.835373991461,2.83493735760731,11.8698289137899,15.0832304502109,17.839931035113,5.47930440112166,6.32130131502423,3.56762653053473,4.11954288882048
"OG0000102",13.8748550614535,5.24188791728496,11.2642470663039,12.4977962113079,4.92350334355786,4.90633318487812,6.15002141515959,3.84145484117028,9.87269851650543,8.85766812147968,10.4594292463317,13.1763694856426
"OG0000104",37.9061262924771,41.3970312480843,42.9294790801886,47.4918885180562,8.02764143176506,4.3281530155826,4.39550078842301,16.0639620280765,6.90979360367374,8.90102448866659,6.14793880866955,5.90718033925938
"OG0000105",40.6970163222464,44.7702193194298,26.8946768629718,39.0232207388863,0,0.068178769020718,0,0,0.13202606652506,0.798285359053619,0.41029823001206,0.350487943611517
"OG0000106",10.8292247736632,8.42495841066578,5.95914082058708,5.98416787825803,8.79090419802216,8.54512610594825,9.75461655038878,10.7296187089077,11.5993241696932,9.7987182362089,7.52402126649873,7.17032108124859
"OG0000109",34.2524701551076,154.565223591571,288.168201858149,141.754052555635,16.7030648700937,286.375617000598,267.439963694361,196.023108149092,661.638762200642,652.063307533715,762.127704208099,104.483634906435
"OG0000112",45.9152158127432,36.4816898669085,31.195299790002,43.824477945326,11.0688956866376,13.3255570856059,11.6903552279875,12.4794240691697,5.0921811111297,4.68891954541533,3.0806309997424,3.86728054578932
"OG0000113",0.887257555353957,4.33198646218871,2.12012814084512,3.43901153216892,0.780319634014809,1.73349019287262,3.58240865592869,6.92650801900917,4.56700900078235,10.1258687476896,19.5320455116232,34.9293934921431
"OG0000117",30.7615174029735,25.816964325713,36.7375690664439,28.8470988199962,0.568562065660172,0.880996934629674,0.721354535018804,0.443922600255721,27.2280393166309,29.4567475346373,26.2203424271562,23.2402583059007
"OG0000118",14.8473402774463,21.7681343487924,19.3116469941679,25.6211789824058,1.82942931052103,2.96611038027866,4.24495344931717,5.01454197741405,10.5124395598634,22.1471436488837,17.8237211735944,12.1839432505099
"OG0000120",18.547193411044,19.0495622550796,20.6509921705256,7.28373972124359,15.8082069458863,4.33899798732905,2.75154847399355,1.83219644536474,10.1289611891351,0.598520306889937,0.200790434639344,0.0402254151906909
"OG0000122",32.5736173672608,29.3571801966245,25.6685221206817,45.6821701805504,49.5911492298711,51.2219194354978,78.5819110254854,107.74035474816,7.8636899331906,8.7095520420731,10.3456940598562,17.1486391146946
"OG0000123",39.986733693841,48.1179095402914,20.0884187837446,17.747803536358,25.4990164793707,25.5528429331096,26.4491211259529,30.3078459304108,53.2420657360644,82.8372295355664,79.7267045183669,78.6086391228632
"OG0000126",2.16300292006163,1.71494364641131,4.03793152800805,5.33023445714985,9.88289693959973,6.37371579655132,8.52647459039271,8.37474092613553,1.90300293860262,1.42923760563219,1.70580131369959,1.52980976960877
"OG0000128",398.732280305108,189.632113762189,415.311492644015,230.692914342678,41.0302671866244,199.509224411527,1008.9675851334,1484.77488387756,30.302988229575,41.8629647975506,60.6226524918021,34.149876623066
"OG0000129",86.2996490134674,88.0014856758643,68.2281385031614,86.2559514740785,80.5296095658563,81.1463240203606,88.5540641195405,98.4091379241343,68.9873558936218,79.1269896149669,84.4782626746728,94.4498113882814
"OG0000130",2.94386570878931,3.14132000172722,2.0233833503424,2.64347335007717,13.1151856348116,14.335341959713,7.9594529055278,6.34611297663902,6.40286976580045,10.3396444947579,17.0931513400668,30.9899624998959
"OG0000131",514.770482468961,182.916443818898,177.648050802753,52.5857455712393,78.2390113266273,77.0817750411046,152.573451927775,119.629960720712,504.260052415129,624.396101389144,639.562637239023,171.705822093013
"OG0000132",0.927891575258046,15.2269439853556,78.8272387369238,182.495069448937,13.2821850071664,167.843548806883,311.295554666975,212.920012489795,12.3617857365299,15.9464228243715,20.5145496645258,40.3754701379042
"OG0000134",3.74324683277763,44.0809662274157,59.1616905487209,12.1809599019606,15.0286754449436,87.1117315482379,48.4978866979288,29.1472168485787,37.9706417144576,58.2934442460186,23.2631078170334,13.0506661148021
"OG0000135",28.1781940660564,33.0803437573077,103.990086769153,139.125932849626,42.0467334735687,428.515465434258,465.087547959357,306.117611760536,32.8650215518093,92.4497604183648,84.7483291478575,59.2945292795346
"OG0000139",26.0416343234467,24.4349682710453,6.10203941186984,5.10592829517648,7.46757655655972,8.69742143653209,6.12270037562483,5.93824534636933,27.1646336149537,36.8449565554516,25.3879383631873,28.2909949722185
"OG0000140",18.5646508776201,78.4780105147704,61.0111231651414,36.8426092045144,11.7551530040264,46.1791329610532,64.6967282358728,69.6041582577688,1.36445650469895,8.54393126851428,12.0361333449353,15.987488446158
"OG0000141",9.2720640047222,6.80692833985984,8.39932202751262,14.2728453995853,5.2036756989793,6.61521533616931,11.0215645775321,20.1386943782947,7.03140701857463,9.25521135808337,18.0833457439246,29.6293196482119
"OG0000142",29.5578378987021,23.3499666627674,6.47175427443622,5.77088170927686,0.339299950622795,0.298044353176226,0.343451714986708,0.386184938795546,1.85367964889056,1.78947122703833,2.15323153469177,2.42142190920416
"OG0000143",1.77032768538817,6.82744665241436,37.9024347821636,91.7283204455864,0.285818070817522,5.40547497498127,6.49482002352392,4.96736280850474,1.1218775494851,0.816117600503893,1.97353870123123,7.22886345843178
"OG0000144",27.919667307195,27.0415335947038,14.0746901261309,14.8246974698298,6.4384204271141,4.19800263037396,2.42199778753816,2.44265146749705,7.91318391653764,9.71963413961084,12.0268893481106,16.6111188570448
"OG0000147",7.4101041562395,3.95321292328752,7.16983739044894,7.87007692382475,2.02546963115543,4.18079275102503,5.01646762343887,1.8429110613179,3.37458641029159,3.06910989619612,2.68305366853668,2.86469464353538
"OG0000148",32.1846443989288,21.8835985986212,17.6294449048017,20.9527609474438,25.3494742925636,18.1923205885844,17.2884867589463,15.6483383865444,0.772237908202944,0,0.169332340811963,0.0699050133231667
"OG0000149",5.10743750730313,3.64491698225362,3.7953310828024,3.73942868352345,14.1370907775355,5.94772646835602,6.92265742879423,14.7565388442843,2.65259734489808,3.71519542436802,8.76734191149217,8.26268243217935
"OG0000150",146.016530586491,836.475864801434,392.025962270251,105.023836127651,134.992633289231,527.40727054807,202.643273429172,155.167780995877,428.852102207189,437.504011921364,213.357748882003,99.2781673283665
"OG0000151",6694.86944806048,1017.4490827782,2029.08509517317,3396.04153195727,4173.05018793566,345.586416765436,390.385618614947,420.691596330835,2353.84864230032,499.934106213344,599.458014758152,593.751006048524
"OG0000152",3.51125506597143,15.1468941238878,78.8026969972798,69.0268731748406,5.89066593072252,620.652159700279,491.417462785117,66.33418092482,47.5671445481295,144.600791665998,145.470753879512,132.030265319252
"OG0000153",13.1385959848418,12.9413131576728,18.1124959787312,20.7869102552286,3.42826740865101,32.3287070038191,43.6491839662819,61.708706909104,23.6344112850167,88.8111067101452,178.892922742028,200.636266126781
"OG0000155",81.8490760078986,72.8678139386652,21.7477892188214,23.6463054267774,24.6763682387047,23.1189503087381,25.9589635996379,22.501130392238,8.86726963128255,6.54471036491863,4.13912122938793,3.3311627710143
"OG0000156",0.643351633283145,3.53110999813089,55.275478736383,279.7808200211,2.03822787069401,3.5490397207063,34.3823572115373,115.94748102861,1.06430595030946,3.63719104342151,15.6324660118132,37.5102061143146
"OG0000158",64.4464346963304,82.5631307321941,86.4347655843173,89.7032172931261,70.3101136196105,78.1730891328465,106.413692114548,123.174837823862,83.9047156989718,102.126565067187,96.1472078779292,78.9510521071433
"OG0000159",4.76338537882648,2.30362231177634,7.40353670860722,12.8377540615434,8.64079858499472,11.5449186111878,5.5269595092119,5.65291887338261,38.8436463702525,39.4157873964321,65.4108147799376,52.5430307614108
"OG0000160",6.33007293740789,12.7661762299974,68.6696245990897,113.087439866639,1.41318727199314,22.2945946779655,41.3371555990703,104.972155331354,1.17246632877698,2.99388152432617,7.61297642116871,26.005252099604
"OG0000161",7.64933723951006,6.85286590965676,3.92817083657125,2.26539994925611,7.05044073185982,11.816150068194,10.7216723994966,11.7381280496484,19.5761543986091,32.2242794661847,33.1024310768098,28.6710190097225
"OG0000163",10.6566127243064,14.8964470763307,62.4346084037736,17.8857344855514,58.7482081551997,49.3345426677341,76.28454238845,61.4987581888391,86.0768136542679,315.729054893274,762.057078968629,547.235672510761
"OG0000164",83.3522581300231,61.8074450384385,14.2820553507927,14.8921401869677,28.6847804660248,27.2648161506814,18.1813138094365,18.9988581979739,16.1206950589764,16.7435450250343,9.94021988330184,15.0901584696513
"OG0000165",6.34629816374146,16.1317302024955,68.2123564833797,236.639191284575,1.88054777529247,26.7335282508433,38.1112462985973,87.6265804831142,6.39689633325388,19.8574061533301,77.3402497475099,106.638489294937
"OG0000166",32.5501225685178,30.8397769929295,32.669988773571,57.9947113624334,1.75734247406776,10.8448343711994,59.6610029832954,164.11399618071,0.912244386679589,2.36693014571726,6.98366316638554,10.7170200349206
"OG0000168",35.5806391704726,21.8997787627328,57.1673672571441,102.925000172106,71.2398909637192,109.127032689637,150.539104315532,275.583703400149,49.4709431106581,79.0403558463648,175.120556627354,191.417704472868
"OG0000169",12.6217196312034,11.1826452977916,3.3378688957543,5.95205869903179,10.2764001435927,15.815208689238,16.2212333671932,16.2395554805353,20.800601673024,21.0913901581735,20.331776737995,19.1355128606902
"OG0000172",11.840449066638,17.0429595278162,8.46861800640467,9.55469612526223,2.93224437650155,5.0581099809854,6.45523563386548,11.852282921175,2.87330681587581,8.76127057407638,6.88179311296171,6.68746573347748
"OG0000173",2.73251682351784,21.5885447199779,174.064039419727,301.717802544989,1.41213434120021,20.3319649260024,31.4688309778509,46.7625248011058,14.6099862260048,32.7373393304547,133.391710068128,96.735542979045
"OG0000174",0.246953334646108,4.49914400951282,10.2119056665016,2.96262534248339,0.12907572385928,32.6546975740172,280.904254796479,226.824302149401,1.26264407823588,1.17843407090234,24.499514921493,27.5639285616427
"OG0000180",20.339866124307,59.6295920240967,22.0729751891535,20.0026232802159,6.04934399207013,2.60797872450303,1.75268995958763,2.09783069084248,7.37523258915782,8.27998585518446,9.96232107888344,17.20051050481
"OG0000181",36.8046446989019,26.4566191462375,31.3656027557609,41.6277417611454,13.9945361959465,7.81590750576963,10.9074057285086,13.8474478158562,11.6450031945622,11.4693717280553,12.4524752395933,14.3294534937679
"OG0000184",77.896315786132,74.4665503385559,69.832437526393,78.7848175649589,1.77022650099522,4.90703688071589,3.63246601545756,2.24263342260886,1.72449087760342,3.86283263945057,3.81523982690016,5.44031679126957
"OG0000185",36.1092523091188,45.5849200270784,139.827952077577,118.479910934267,11.6237970285925,151.899810941488,83.9556685535628,63.3765472281779,56.8949291544327,122.510707062108,103.177732456591,62.7060291134693
"OG0000186",19.4860486141028,700.030394088379,162.414666756433,5.53450766777321,22.0275368101073,524.636313170125,75.0531654441121,36.8450443775909,139.135954020756,116.972655606083,5.49238982058732,0.430587314964888
"OG0000187",1.21457001743169,2.25251610010974,3.24653923736113,8.09314862800408,0.023638473124534,0.89933279026532,3.70304139282591,10.0663219044323,2.42163105799024,5.65401128610187,27.5073903437644,55.4016335281784
"OG0000188",2425.53100537,432.851354592586,902.772452686207,1883.54684458601,2809.2986684909,149.140033090224,225.815073008276,385.414666364207,937.187838182129,237.385897221624,261.789865241855,197.381408326503
"OG0000195",5.46186456737985,7.54034125336643,10.1205588058623,17.571006288479,0.212254794083185,0.0588866530100932,0.0807876369662177,0.249288197214892,0.984402286717013,0.792034908766362,0.883132483583832,0.961766166928562
"OG0000196",5.71242407754034,30.0770913806865,95.4494244947884,188.111362760725,36.3676382095842,68.4850498364273,55.1094644967182,97.4587234729286,53.0548629879582,107.446446675582,255.609173459926,183.125898551404
"OG0000197",1.78871389870017,1.91108636657293,5.22178538771966,6.30442885922911,5.62666569210422,3.03176787956278,4.03505990292201,4.90533721730352,8.32219457831469,9.43924231605384,17.2334330926812,25.8202433823412
"OG0000198",5.74681825297149,17.1777882485108,189.584486952441,366.105751553954,30.9412157281738,170.1970593329,370.02483098651,595.296627743434,10.9772633334698,45.3089093348233,149.200706482065,227.854993156254
"OG0000200",24.7325008279806,48.3989139747914,21.7626438677505,25.0435694554847,34.3050001738583,50.7862376841123,27.8578040789433,24.6348161360111,38.7664994060029,40.8877861714555,38.4126174573895,27.7560914930603
"OG0000203",2.63026588468078,2.80324155258741,1.99868351606703,3.68908231439706,5.79294094317161,4.47011640961381,4.37781752394973,6.42733178271049,8.58567736181107,7.55827034193387,4.64746090879464,5.56272607254514
"OG0000204",23.0610358823153,5.40443888825802,7.78928260842739,17.7196819401406,0.112488440167865,0,0.340071067351955,0,0.285544609647573,0.216328818960582,0.463492726259656,1.5802170647105
"OG0000206",1787.62519512256,2453.21200925125,4646.7366584252,5304.46333658644,2752.21397595755,2934.09996574686,3062.56872183576,2204.18717456554,2411.13047378209,2805.39031520444,3778.86544269872,4312.07724230312
"OG0000207",8.95716401554721,10.2951254382733,5.39872639141568,6.65350430252175,6.4536102695745,4.37381454519623,3.57498179933585,4.26178898558124,0,0,0,0
"OG0000208",7.30740758554679,9.47982015947048,8.25441291452145,11.0105362962415,0.343581226245235,1.1114969852543,0.429097160427883,0.627356724097067,4.64877680111329,3.70159397875502,3.25907389000668,2.36458212421876
"OG0000209",17.9258207963827,15.2179195474449,7.883080703809,6.43486552139524,3.56822498437699,0.948493240586439,0.374633566663072,0.218573528933473,11.8555490618875,12.8716998653112,7.17270328616296,5.02476116545956
